Day,"Amount Spent (USD)","Result Type",Results,"Results [On Ad]",Reach,Frequency,Impressions,"Clicks (All)","Reporting Starts","Reporting Ends"
2019-01-21,7.71,"Website Registrations Completed",3,,1462,1.1128590971272,1627,37,2019-01-21,2019-01-21
2019-01-20,8.06,"Website Registrations Completed",2,,1828,1.1083150984683,2026,36,2019-01-20,2019-01-20
2019-01-19,7.92,"Website Registrations Completed",2,,1743,1.1141709695927,1942,36,2019-01-19,2019-01-19
2019-01-18,8.12,"Website Registrations Completed",1,,1553,1.1390856406954,1769,37,2019-01-18,2019-01-18
2019-01-17,0,"Website Registrations Completed",,,6,1,6,0,2019-01-17,2019-01-17
2019-01-16,8.42,"Website Registrations Completed",1,,1372,1.0954810495627,1503,36,2019-01-16,2019-01-16
2019-01-15,14.62,"Website Registrations Completed",,,2614,1.11973986228,2927,50,2019-01-15,2019-01-15
2019-01-14,15.68,"Website Registrations Completed",4,,3126,1.1222008957134,3508,56,2019-01-14,2019-01-14
2019-01-13,15.4,"Website Registrations Completed",2,,3109,1.1157928594403,3469,67,2019-01-13,2019-01-13
2019-01-12,15.47,"Website Registrations Completed",4,,3122,1.1239590006406,3509,57,2019-01-12,2019-01-12
2019-01-11,15.45,"Website Registrations Completed",1,,2839,1.1412469179288,3240,78,2019-01-11,2019-01-11
2019-01-10,15.49,"Website Registrations Completed",4,,3140,1.146178343949,3599,83,2019-01-10,2019-01-10
2019-01-09,16.8,"Website Registrations Completed",4,,4360,1.0949541284404,4774,81,2019-01-09,2019-01-09
2019-01-08,14.81,"Website Registrations Completed",,,3537,1.2824427480916,4536,63,2019-01-08,2019-01-08
2019-01-07,15.77,"Website Registrations Completed",3,,4105,1.1673568818514,4792,97,2019-01-07,2019-01-07
2019-01-06,14.68,"Website Registrations Completed",,,3543,1.189105278013,4213,78,2019-01-06,2019-01-06
2019-01-05,15.59,"Website Registrations Completed",,,3776,1.1596927966102,4379,116,2019-01-05,2019-01-05
2019-01-04,14.68,"Website Registrations Completed",,,3673,1.1658045194664,4282,87,2019-01-04,2019-01-04
2019-01-03,14.46,"Website Registrations Completed",1,,4055,1.1580764488286,4696,93,2019-01-03,2019-01-03
2019-01-02,15.18,"Website Registrations Completed",4,,3333,1.1587158715872,3862,70,2019-01-02,2019-01-02
2019-01-01,15.32,"Website Registrations Completed",2,,4023,1.1727566492667,4718,84,2019-01-01,2019-01-01
2018-12-31,14.83,"Website Registrations Completed",3,,2673,1.1720912832024,3133,100,2018-12-31,2018-12-31
2018-12-30,57.09,"Website Registrations Completed",2,,4983,1.3331326510134,6643,143,2018-12-30,2018-12-30
2018-12-29,40.32,"Website Registrations Completed",,,3308,1.4960701330109,4949,68,2018-12-29,2018-12-29
2018-12-28,28.77,"Website Registrations Completed",1,,3279,1.4104910033547,4625,65,2018-12-28,2018-12-28
2018-12-27,25.98,"Website Registrations Completed",1,,3185,1.4448979591837,4602,80,2018-12-27,2018-12-27
2018-12-26,26.19,"Website Registrations Completed",1,,3656,1.3380743982495,4892,68,2018-12-26,2018-12-26
2018-12-25,16.73,"Website Registrations Completed",,,2737,1.2477164778955,3415,72,2018-12-25,2018-12-25
2018-12-24,15.46,"Website Registrations Completed",2,,2837,1.1406415227353,3236,59,2018-12-24,2018-12-24
2018-12-23,14.8,"Website Registrations Completed",1,,2970,1.1740740740741,3487,41,2018-12-23,2018-12-23
2018-12-22,21.52,"Website Registrations Completed",9,,4151,1.1616477957119,4822,75,2018-12-22,2018-12-22
2018-12-21,15.32,"Website Registrations Completed",,,737,1.0881953867028,802,28,2018-12-21,2018-12-21
2018-12-20,6.12,"Website Registrations Completed",1,,427,1.0351288056206,442,16,2018-12-20,2018-12-20
2018-12-19,9.34,"Website Registrations Completed",4,,3351,1.2139659803044,4068,56,2018-12-19,2018-12-19
2018-12-18,13.71,"Website Registrations Completed",8,,4518,1.3477202301903,6089,150,2018-12-18,2018-12-18
2018-12-17,2.26,"Website Registrations Completed",1,,1387,1.0951694304254,1519,62,2018-12-17,2018-12-17
2018-12-16,2.01,"Website Registrations Completed",2,,1295,1.1791505791506,1527,71,2018-12-16,2018-12-16
2018-12-15,2,"Website Registrations Completed",1,,1163,1.2261392949269,1426,66,2018-12-15,2018-12-15
2018-12-14,10.74,"Website Registrations Completed",1,,2466,1.264395782644,3118,56,2018-12-14,2018-12-14
2018-12-13,15.74,"Website Registrations Completed",2,,3795,1.4163372859025,5375,75,2018-12-13,2018-12-13
2018-12-12,15.64,"Website Registrations Completed",4,,3644,1.3570252469813,4945,76,2018-12-12,2018-12-12
2018-12-11,21.57,"Website Registrations Completed",1,,3695,1.3190798376184,4874,90,2018-12-11,2018-12-11
2018-12-10,38.28,"Website Registrations Completed",2,,3115,1.7958266452648,5594,64,2018-12-10,2018-12-10
2018-12-09,40.43,"Website Registrations Completed",2,,2526,1.8147268408551,4584,33,2018-12-09,2018-12-09
2018-12-08,170.98,"Website Registrations Completed",,,6828,2.0197715289982,13791,151,2018-12-08,2018-12-08
2018-12-07,54.5,"Website Registrations Completed",1,,16144,1.574207135778,25414,206,2018-12-07,2018-12-07
2018-12-06,16.69,"Website Registrations Completed",7,,4373,1.5607134690144,6825,189,2018-12-06,2018-12-06
2018-12-05,2.89,"Website Registrations Completed",3,,2015,1.0908188585608,2198,121,2018-12-05,2018-12-05
2018-12-04,8.59,"Website Registrations Completed",7,,5252,1.0546458492003,5539,284,2018-12-04,2018-12-04
2018-11-30,55.93,"Website Registrations Completed",,,3216,1.2879353233831,4142,49,2018-11-30,2018-11-30
2018-11-29,134.52,"Website Registrations Completed",,,7140,1.6885154061625,12056,90,2018-11-29,2018-11-29
2018-11-28,19.25,"Website Registrations Completed",,,2242,1.5294380017841,3429,27,2018-11-28,2018-11-28
2018-11-27,14.73,"Website Registrations Completed",2,,1839,1.4834148994018,2728,15,2018-11-27,2018-11-27
2018-11-26,14.99,"Website Registrations Completed",,,1919,1.382490880667,2653,10,2018-11-26,2018-11-26
2018-11-25,19.87,"Website Registrations Completed",1,,1956,1.3972392638037,2733,24,2018-11-25,2018-11-25
2018-11-24,36.32,"Website Registrations Completed",1,,3042,1.5128205128205,4602,54,2018-11-24,2018-11-24
2018-11-23,49.05,"Website Registrations Completed",,,3771,1.3884911164147,5236,74,2018-11-23,2018-11-23
2018-11-22,45.13,"Website Registrations Completed",1,,3528,1.4124149659864,4983,72,2018-11-22,2018-11-22
