Age,Amount Spent (USD),Reach
45-54,0.05,66
35-44,0.12,221
25-34,0.19,238
18-24,0.05,104
45-54,0.08,140
35-44,0.31,518
25-34,0.41,663
18-24,0.21,448
45-54,0.16,139
35-44,0.28,464
25-34,0.3,579
18-24,0.23,424
25-34,0.39,720
18-24,0.27,381
35-44,0.21,494
45-54,0.1,128
45-54,0.04,97
35-44,0.24,455
25-34,0.55,926
18-24,0.19,291
18-24,0.15,416
25-34,0.48,868
35-44,0.35,429
45-54,0.06,108
45-54,0.1,103
35-44,0.28,389
25-34,0.39,781
18-24,0.21,507
45-54,0.14,195
35-44,0.29,590
25-34,0.38,812
18-24,0.2,429
25-34,0.29,701
18-24,0.12,346
35-44,0.42,562
45-54,0.1,205
35-44,0.76,904
25-34,0.53,1013
18-24,0.32,518
45-54,0.22,375
18-24,0.38,759
45-54,0.21,257
35-44,0.68,871
25-34,0.71,1119
25-34,0.55,680
18-24,0.2,360
45-54,0.17,147
35-44,0.36,423
45-54,0.12,170
35-44,0.33,455
25-34,0.42,603
18-24,0.28,423
25-34,0.23,440
18-24,0.31,419
45-54,0.23,198
35-44,0.38,371
55-64,0.02,9
45-54,0.2,140
35-44,0.21,184
55-64,0.03,16
45-54,0.42,248
35-44,0.49,373
35-44,1.07,816
25-34,0.41,378
55-64,0.06,25
45-54,0.92,521
55-64,0.11,51
45-54,1.42,806
35-44,2.15,1473
25-34,1.13,1198
35-44,1.75,1399
25-34,1.55,1599
45-54,1.47,747
55-64,0.14,69
55-64,0.06,46
45-54,1.01,642
35-44,1.5,1315
25-34,1.41,1748
18-24,0.26,716
25-34,1.35163482,2052
18-24,0.38895966,911
35-44,1.594734607,1556
45-54,1.157154989,850
55-64,0.087515924,65
55-64,0.1,150
45-54,0.9,661
35-44,1.14,1353
25-34,1.02,1701
18-24,0.2,512
25-34,1.68,2020
18-24,0.12,328
55-64,0.07,94
35-44,1.6,1453
45-54,1.24,787
55-64,0.04,70
45-54,0.07,193
35-44,0.28,555
25-34,0.43,949
18-24,0.17,360
55-64,0.18,79
45-54,2.71,643
35-44,2.68,1148
25-34,1.34,633
18-24,0.27,255
35-44,3.15,1267
25-34,1.84,334
45-54,3.45,679
25-34,11.93,3634
35-44,13.81,3698
45-54,8.92,1502
45-54,41.13,6924
35-44,45.65,6296
25-34,35.8,7052
45-54,28.57,6452
35-44,21.3,4488
25-34,16.07,5676
45-54,0.47,361
35-44,0.16,65
25-34,0.07,74
45-54,1.6,1103
35-44,0.82,431
25-34,0.52,327
35-44,2.98,1215
25-34,1.4,861
