Day,Amount Spent (USD),Result Type,Results,Reporting Starts,Reporting Ends
1/20/19,0.519539568,,,1/20/19,1/20/19
1/20/19,6.560460432,Website Registrations Completed,1,1/20/19,1/20/19
1/19/19,0.51,,,1/19/19,1/19/19
1/19/19,7.41,Website Registrations Completed,2,1/19/19,1/19/19
1/18/19,0.74,,,1/18/19,1/18/19
1/18/19,7.38,Website Registrations Completed,1,1/18/19,1/18/19
1/17/19,0,,,1/17/19,1/17/19
1/17/19,0,,,1/17/19,1/17/19
1/16/19,7.69,Website Registrations Completed,1,1/16/19,1/16/19
1/16/19,0.73,,,1/16/19,1/16/19
1/15/19,13.63,,,1/15/19,1/15/19
1/15/19,0.99,,,1/15/19,1/15/19
1/14/19,1.43,,,1/14/19,1/14/19
1/14/19,14.25,Website Registrations Completed,4,1/14/19,1/14/19
1/13/19,1.66,,,1/13/19,1/13/19
1/13/19,13.74,Website Registrations Completed,2,1/13/19,1/13/19
1/12/19,1.46,,,1/12/19,1/12/19
1/12/19,14.01,Website Registrations Completed,4,1/12/19,1/12/19
1/11/19,1.17,,,1/11/19,1/11/19
1/11/19,14.28,Website Registrations Completed,1,1/11/19,1/11/19
1/10/19,1.44,,,1/10/19,1/10/19
1/10/19,14.05,Website Registrations Completed,4,1/10/19,1/10/19
1/9/19,1.56,,,1/9/19,1/9/19
1/9/19,15.24,Website Registrations Completed,4,1/9/19,1/9/19
1/8/19,13.32,,,1/8/19,1/8/19
1/8/19,1.49,,,1/8/19,1/8/19
1/7/19,1.24,,,1/7/19,1/7/19
1/7/19,14.53,Website Registrations Completed,3,1/7/19,1/7/19
1/6/19,1.12,,,1/6/19,1/6/19
1/6/19,13.56,,,1/6/19,1/6/19
1/5/19,1.54,,,1/5/19,1/5/19
1/5/19,14.05,,,1/5/19,1/5/19
1/4/19,1.02,,,1/4/19,1/4/19
1/4/19,13.66,,,1/4/19,1/4/19
1/3/19,2.09,,,1/3/19,1/3/19
1/3/19,12.37,Website Registrations Completed,1,1/3/19,1/3/19
1/2/19,12.27,Website Registrations Completed,3,1/2/19,1/2/19
